iter	Logloss
0	0.6812528865
1	0.6741033554
2	0.6666029621
3	0.6590045834
4	0.6516306353
5	0.6468149413
6	0.6438147455
7	0.6385612492
8	0.6347207725
9	0.6314458314
10	0.6299357002
11	0.6273264641
12	0.6243834583
13	0.6234900342
14	0.6211047209
15	0.6184362153
16	0.6164593654
17	0.6146643229
18	0.6124888019
19	0.6113498962
20	0.6101988641
21	0.6087756165
22	0.6070520414
23	0.6044829289
24	0.6031239784
25	0.6024063855
26	0.6018953819
27	0.5999995492
28	0.5995282305
29	0.5978469443
30	0.5958575852
31	0.5941099152
32	0.5940721996
33	0.5930598366
34	0.5913557171
35	0.590443519
36	0.5890432521
37	0.5885953225
38	0.5874127164
39	0.5852990115
40	0.5842096618
41	0.583873778
42	0.5833802501
43	0.5833635639
44	0.5824313548
45	0.5819224723
46	0.5806454075
47	0.5789588799
48	0.5775901125
49	0.5763111416
50	0.5751886306
51	0.5741961325
52	0.5734928995
53	0.5718325619
54	0.5709590403
55	0.569728677
56	0.5686210529
57	0.5671374839
58	0.5659236986
59	0.5647237612
60	0.5632528582
61	0.5624487408
62	0.5616847735
63	0.560758339
64	0.5587103443
65	0.5578146424
66	0.556863209
67	0.5562991128
68	0.5550322578
69	0.554348661
70	0.5539584853
71	0.5523005154
72	0.5515677236
73	0.5506551963
74	0.5500770149
75	0.5489948781
76	0.5482035153
77	0.5474502452
78	0.5466278016
79	0.5455789422
80	0.544497518
81	0.5435047282
82	0.542790148
83	0.5416673239
84	0.5405808706
85	0.5396563839
86	0.538306766
87	0.5369324016
88	0.5358706241
89	0.5352932087
90	0.5344042257
91	0.5331035783
92	0.5322589769
93	0.531820807
94	0.530465714
95	0.5297773097
96	0.5292388642
97	0.5281513965
98	0.5274407483
99	0.5266397238
100	0.5256205523
101	0.5248149682
102	0.5232011268
103	0.5222575495
104	0.5214485656
105	0.5200472443
106	0.5192701291
107	0.5182011504
108	0.5174521473
109	0.51648467
110	0.51500275
111	0.5141017572
112	0.5134209643
113	0.5121799153
114	0.5107581087
115	0.5101276577
116	0.5096465156
117	0.5085559425
118	0.5072058254
119	0.5066379904
120	0.5057530062
121	0.5049929829
122	0.5044211988
123	0.503342946
124	0.5020596388
125	0.5008002144
126	0.4993861415
127	0.4987053469
128	0.49768053
129	0.4961796393
130	0.4955663658
131	0.4947188079
132	0.494014753
133	0.4923981425
134	0.4919113972
135	0.4910970561
136	0.4903499661
137	0.4891486662
138	0.4882152574
139	0.4875354859
140	0.4870291249
141	0.4865223568
142	0.4858818355
143	0.4854859305
144	0.4847404095
145	0.4835248734
146	0.4825923515
147	0.481295493
148	0.4801874277
149	0.4795363305
150	0.4787366439
151	0.4781868169
152	0.4777338478
153	0.4770967383
154	0.475887289
155	0.4748944848
156	0.4737688789
157	0.4725130537
158	0.4715431543
159	0.4709947729
160	0.4701956198
161	0.4694989167
162	0.4686867435
163	0.4676944232
164	0.467232509
165	0.4659291233
166	0.4647106325
167	0.4639107281
168	0.4628293832
169	0.4619032597
170	0.4613636224
171	0.4603589318
172	0.4597639863
173	0.4587695718
174	0.4581127884
175	0.4569785113
176	0.4562240774
177	0.4556920905
178	0.454989581
179	0.4542376053
180	0.4535802612
181	0.4524757174
182	0.4517851256
183	0.4512191269
184	0.4507737942
185	0.4500996787
186	0.4496567333
187	0.4491792608
188	0.4477421971
189	0.446978234
190	0.4462424143
191	0.4457612185
192	0.4453272103
193	0.4447715939
194	0.4442897413
195	0.4434883782
196	0.4427750236
197	0.4419237391
198	0.4404978444
199	0.4400981493
200	0.4398378476
201	0.4391484953
202	0.4385562356
203	0.4381230245
204	0.4377408198
205	0.4374996322
206	0.4368556512
207	0.4362098369
208	0.4356081455
209	0.4344855164
210	0.4338201349
211	0.4330234011
212	0.4324804642
213	0.4321984787
214	0.431449836
215	0.430357425
216	0.4295942144
217	0.4283288219
218	0.4277504145
219	0.4272616864
220	0.4267146384
221	0.4261644466
222	0.4256074517
223	0.4244541148
224	0.423906116
225	0.4229015074
226	0.4224633797
227	0.4222851669
228	0.4217742069
229	0.4214862642
230	0.4209082216
231	0.4202836784
232	0.4197595037
233	0.419285199
234	0.4188668991
235	0.4182258635
236	0.4175305734
237	0.4171495427
238	0.4164713547
239	0.4160544228
240	0.4155473549
241	0.4148431765
242	0.4146702975
243	0.4140364791
244	0.4138382965
245	0.4134799342
246	0.4128539474
247	0.4116101485
248	0.4111536579
249	0.4103439435
250	0.4096392829
251	0.4089371582
252	0.4087242991
253	0.4076961144
254	0.4072678154
255	0.4065436214
256	0.4062900319
257	0.4054507889
258	0.4050988478
259	0.4042771186
260	0.4033405634
261	0.4027607613
262	0.4024063456
263	0.401487089
264	0.4008214847
265	0.4005662732
266	0.4002658139
267	0.3995649391
268	0.398541166
269	0.3982926185
270	0.3977642413
271	0.3974811116
272	0.3965784537
273	0.3958876541
274	0.3954656801
275	0.3949925938
276	0.394649627
277	0.3941932935
278	0.3938974899
279	0.3934921289
280	0.3932208013
281	0.3927452873
282	0.3922961547
283	0.3915831148
284	0.3912967161
285	0.390974019
286	0.3904090232
287	0.3896762854
288	0.3892169351
289	0.3880965925
290	0.3878761227
291	0.3875421139
292	0.3871698255
293	0.3866089813
294	0.3859512701
295	0.3857440591
296	0.3850418659
297	0.3847009883
298	0.3841347534
299	0.3834294833
