iter	Passed	Remaining
0	59	17759
1	59	8904
2	60	5976
3	60	4511
4	61	3632
5	62	3044
6	62	2615
7	63	2301
8	63	2057
9	64	1860
10	64	1693
11	65	1560
12	65	1447
13	65	1346
14	66	1262
15	66	1188
16	67	1124
17	68	1066
18	68	1014
19	69	967
20	69	926
21	70	887
22	70	852
23	71	820
24	71	790
25	72	762
26	72	736
27	73	712
28	73	690
29	74	669
30	74	650
31	75	632
32	75	613
33	76	596
34	76	581
35	77	567
36	77	553
37	78	540
38	79	528
39	79	516
40	79	505
41	80	494
42	80	483
43	81	472
44	81	463
45	82	454
46	82	445
47	83	437
48	83	429
49	84	421
50	84	414
51	85	407
52	85	400
53	86	393
54	87	387
55	87	381
56	88	375
57	88	370
58	89	364
59	89	359
60	90	353
61	90	348
62	91	343
63	91	338
64	92	333
65	92	329
66	93	324
67	93	320
68	94	316
69	94	311
70	95	308
71	96	304
72	96	300
73	97	296
74	97	292
75	98	291
76	99	287
77	99	284
78	100	280
79	100	277
80	101	274
81	101	271
82	102	267
83	103	264
84	103	262
85	104	259
86	104	256
87	105	253
88	105	250
89	106	247
90	106	245
91	107	242
92	107	239
93	108	237
94	108	234
95	109	232
96	109	229
97	110	227
98	110	225
99	111	222
100	111	220
101	113	219
102	113	217
103	114	214
104	114	212
105	115	210
106	115	208
107	116	206
108	116	204
109	117	202
110	117	200
111	118	198
112	118	196
113	119	194
114	119	192
115	120	190
116	120	188
117	121	186
118	121	185
119	122	183
120	122	181
121	123	179
122	123	178
123	124	176
124	124	174
125	125	172
126	125	171
127	126	169
128	126	168
129	127	166
130	127	164
131	128	163
132	128	161
133	129	160
134	129	158
135	130	157
136	130	155
137	131	154
138	131	152
139	132	151
140	132	149
141	133	148
142	133	147
143	134	145
144	135	144
145	135	143
146	136	141
147	136	140
148	137	139
149	137	137
150	138	136
151	138	135
152	139	133
153	139	132
154	140	131
155	140	130
156	142	129
157	142	128
158	143	126
159	143	125
160	144	124
161	144	123
162	145	121
163	145	120
164	146	119
165	146	118
166	147	117
167	147	116
168	148	114
169	148	113
170	149	112
171	149	111
172	150	110
173	150	109
174	151	108
175	151	106
176	152	105
177	152	104
178	153	103
179	153	102
180	154	101
181	154	100
182	155	99
183	155	98
184	156	97
185	156	96
186	157	95
187	158	94
188	159	93
189	159	92
190	160	91
191	160	90
192	161	89
193	161	88
194	162	87
195	162	86
196	163	85
197	163	84
198	164	83
199	164	82
200	165	81
201	165	80
202	166	79
203	166	78
204	167	77
205	167	76
206	168	75
207	168	74
208	169	73
209	169	72
210	170	71
211	171	70
212	171	70
213	172	69
214	172	68
215	173	67
216	173	66
217	174	65
218	174	64
219	175	63
220	175	62
221	176	61
222	176	61
223	177	60
224	178	59
225	178	58
226	179	57
227	179	56
228	180	55
229	180	54
230	181	54
231	181	53
232	182	52
233	182	51
234	183	50
235	183	49
236	184	48
237	184	48
238	185	47
239	185	46
240	186	45
241	186	44
242	187	43
243	187	43
244	188	42
245	188	41
246	189	40
247	189	39
248	190	39
249	190	38
250	191	37
251	191	36
252	192	35
253	193	34
254	193	34
255	194	33
256	194	32
257	195	31
258	195	30
259	196	30
260	196	29
261	197	28
262	197	27
263	198	27
264	198	26
265	199	25
266	199	24
267	200	23
268	200	23
269	201	22
270	201	21
271	202	20
272	202	20
273	203	19
274	204	18
275	204	17
276	205	17
277	205	16
278	206	15
279	206	14
280	207	14
281	207	13
282	208	12
283	208	11
284	209	11
285	209	10
286	210	9
287	210	8
288	211	8
289	211	7
290	212	6
291	213	5
292	213	5
293	214	4
294	214	3
295	214	2
296	215	2
297	216	1
298	216	0
299	217	0
